Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Age,Gender,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2022-003221,2022-01-01,2022-01-07,Standard Class,CUST-00461,Wei Singh,61.0,Male,Consumer,United States,Houston,Ohio,28031.0,Central,PRD-4700,Office Supplies,Storage,Binder Organizer,104.19,2,0.3,6.13
ORD-2022-001096,2022-01-01,2022-01-03,Standard Class,CUST-01210,Charles Khan,48.0,Male,Consumer,United States,Nashville,Tennessee,37731.0,South,PRD-3207,Furniture,Furnishings,Desk Lamp,30.25,1,0.2,1.12
ORD-2022-005393,2022-01-01,2022-01-06,Standard Class,CUST-01178,John Miller,20.0,Female,Home Office,United States,Detroit,Texas,90883.0,Central,PRD-4700,Office Supplies,Storage,Binder Organizer,372.22,6,,49.08
ORD-2022-006796,2022-01-01,2022-01-05,Second Class,CUST-00793,Priya Garcia,22.0,Male,Consumer,United States,Philadelphia,Massachusetts,46666.0,East,PRD-5039,Office Supplies,Labels,Address Labels,9.36,1,0.05,1.4
ORD-2022-007006,2022-01-01,2022-01-03,First Class,CUST-00491,Priya Wilson,63.0,Female,Consumer,United States,Newark,Massachusetts,74640.0,East,PRD-2676,Furniture,Chairs,Mesh Office Chair,129.05,1,0.4,-21.99
ORD-2022-000485,2022-01-01,2022-01-02,Same Day,CUST-00081,Richard Iyer,44.0,Female,Consumer,United States,Miami,Georgia,96035.0,South,PRD-3712,Technology,Accessories,Webcam,170.22,3,0.0,23.77
ORD-2022-007192,2022-01-01,2022-01-07,First Class,CUST-00977,Richard Iyer,43.0,Female,Consumer,United States,Detroit,Illinois,85323.0,Central,PRD-4786,Furniture,Bookcases,Corner Bookshelf,440.74,3,0.1,20.23
ORD-2022-006586,2022-01-01,2022-01-06,Standard Class,CUST-00118,Karen Smith,42.0,Female,Consumer,United States,Houston,Ohio,70917.0,Central,PRD-5556,Technology,Machines,Inkjet Printer,314.45,1,0.0,46.68
ORD-2022-003856,2022-01-01,2022-01-05,Standard Class,CUST-00860,Nancy Khan,41.0,Female,Home Office,United States,Columbus,Texas,89614.0,Central,PRD-3705,Office Supplies,Paper,Sticky Notes Pack,88.33,6,0.0,19.04
ORD-2022-007759,2022-01-02,2022-01-05,Standard Class,CUST-01130,Chen Moore,37.0,Male,Consumer,United States,Boston,Pennsylvania,72504.0,East,PRD-5039,Office Supplies,Labels,Address Labels,67.77,6,0.1,8.47
ORD-2022-004828,2022-01-02,2022-01-07,Standard Class,CUST-00439,Joseph Iyer,19.0,Male,Consumer,United States,Atlanta,Tennessee,16001.0,South,PRD-1922,Technology,Accessories,Wireless Mouse,174.37,6,0.4,-14.84
ORD-2022-008015,2022-01-02,2022-01-07,First Class,CUST-00386,Charles Taylor,19.0,Male,Home Office,United States,Atlanta,Florida,38785.0,South,PRD-2795,Technology,Machines,Laser Printer,1640.29,6,0.2,138.21
ORD-2022-003986,2022-01-02,2022-01-06,Second Class,CUST-00120,James Thomas,61.0,Male,Corporate,United States,Houston,Illinois,77905.0,Central,PRD-3917,Furniture,Bookcases,Oak Bookcase,458.88,6,0.4,-68.57
ORD-2022-000355,2022-01-02,2022-01-06,Second Class,CUST-01004,Linda Müller,62.0,Male,Consumer,United States,Columbus,Ohio,21701.0,Central,PRD-2830,Office Supplies,Storage,File Cabinet,140.43,3,0.05,19.04
ORD-2022-008547,2022-01-02,2022-01-04,Standard Class,CUST-01377,Priya Iyer,25.0,Male,Consumer,United States,San Francisco,Washington,36749.0,West,PRD-3207,Furniture,Furnishings,Desk Lamp,322.99,6,0.0,47.61
ORD-2022-003553,2022-01-02,2022-01-05,Standard Class,CUST-01255,Jennifer Kim,28.0,Female,Corporate,United States,San Francisco,Oregon,46465.0,West,PRD-8658,Furniture,Tables,Round Table,1188.21,4,0.05,128.62
ORD-2022-002914,2022-01-02,2022-01-04,First Class,CUST-00521,Linda Anderson,45.0,Male,Corporate,United States,New York City,Pennsylvania,38302.0,East,PRD-4226,Office Supplies,Storage,Storage Box,73.36,1,0.05,14.72
ORD-2022-002299,2022-01-02,2022-01-05,Same Day,CUST-01351,Susan Patel,34.0,Female,Consumer,United States,Chicago,Michigan,35469.0,Central,PRD-3207,Furniture,Furnishings,Desk Lamp,57.48,1,0.0,7.96
ORD-2022-007969,2022-01-02,2022-01-07,Standard Class,CUST-00353,Nancy Taylor,40.0,Female,Corporate,United States,Columbus,Texas,75117.0,Central,PRD-4786,Furniture,Bookcases,Corner Bookshelf,509.97,5,0.2,-19.75
ORD-2022-008604,2022-01-02,2022-01-08,Standard Class,CUST-00596,Michael Müller,63.0,Female,Home Office,United States,Columbus,Ohio,61487.0,Central,PRD-5623,Office Supplies,Labels,Label Maker Tape,9.57,1,0.0,2.19
ORD-2022-000930,2022-01-03,2022-01-07,Same Day,CUST-01198,Wei Jones,61.0,Male,Corporate,United States,Portland,California,68028.0,West,PRD-1098,Technology,Phones,Phone Case,318.71,1,0.1,36.16
ORD-2022-000538,2022-01-03,2022-01-08,Standard Class,CUST-00296,Thomas Williams,58.0,Male,Corporate,United States,San Francisco,Oregon,19868.0,West,PRD-8154,Furniture,Tables,Conference Table,248.69,1,0.15,-2.76
ORD-2022-002436,2022-01-03,2022-01-05,Standard Class,CUST-00143,Robert Park,23.0,Male,Consumer,United States,Columbus,Ohio,92426.0,Central,PRD-5623,Office Supplies,Labels,Label Maker Tape,55.78,5,0.0,11.54
ORD-2022-007502,2022-01-03,2022-01-04,Standard Class,CUST-00166,William Nair,24.0,Female,Consumer,United States,Portland,Nevada,41984.0,West,PRD-2118,Office Supplies,Art,Color Pencil Box,54.57,5,0.3,-0.49
ORD-2022-009412,2022-01-04,2022-01-10,Standard Class,CUST-00211,Fatima Johnson,41.0,Male,Corporate,United States,San Francisco,California,44446.0,West,PRD-4226,Office Supplies,Storage,Storage Box,57.32,1,0.0,20.41
ORD-2022-000557,2022-01-04,2022-01-06,Standard Class,CUST-00227,Thomas Thomas,61.0,Female,Consumer,United States,New York City,New York,69321.0,East,PRD-1098,Technology,Phones,Phone Case,319.38,1,0.0,53.61
